lambda (nm),n,alpha (deg),f,TE
1300,1,30,0.3,0.934666685
1300,1,30,0.32,0.940379897
1300,1,30,0.34,0.947822299
1300,1,30,0.36,0.956992139
1300,1,30,0.38,0.966911017
1300,1,30,0.4,0.975610696
1300,1,30,0.42,0.980125037
1300,1,30,0.44,0.977140533
1300,1,30,0.46,0.963890448
1300,1,30,0.48,0.939250766
1300,1,30,0.5,0.904398991
1300,1,32,0.3,0.917742163
1300,1,32,0.32,0.923891472
1300,1,32,0.34,0.932304733
1300,1,32,0.36,0.943006627
1300,1,32,0.38,0.954994047
1300,1,32,0.4,0.966179015
1300,1,32,0.42,0.973290865
1300,1,32,0.44,0.972672376
1300,1,32,0.46,0.961200936
1300,1,32,0.48,0.937528168
1300,1,32,0.5,0.902800706
1300,1,34,0.3,0.86900084
1300,1,34,0.32,0.874396906
1300,1,34,0.34,0.882958561
1300,1,34,0.36,0.894809038
1300,1,34,0.38,0.9089456
1300,1,34,0.4,0.923108904
1300,1,34,0.42,0.933568534
1300,1,34,0.44,0.93606187
1300,1,34,0.46,0.926835534
1300,1,34,0.48,0.904176142
1300,1,34,0.5,0.869252127
1300,1,36,0.3,0.794281155
1300,1,36,0.32,0.798068704
1300,1,36,0.34,0.806261323
1300,1,36,0.36,0.81916454
1300,1,36,0.38,0.835798403
1300,1,36,0.4,0.853619501
1300,1,36,0.42,0.868130064
1300,1,36,0.44,0.873966729
1300,1,36,0.46,0.866286809
1300,1,36,0.48,0.842888212
1300,1,36,0.5,0.80527532
1300,1,38,0.3,0.702713549
1300,1,38,0.32,0.708447496
1300,1,38,0.34,0.721913215
1300,1,38,0.36,0.743591676
1300,1,38,0.38,0.771198017
1300,1,38,0.4,0.79790629
1300,1,38,0.42,0.81106584
1300,1,38,0.44,0.795934494
1300,1,38,0.46,0.743971218
1300,1,38,0.48,0.659424433
1300,1,38,0.5,0.556634988
1300,1,40,0.3,0.593451277
1300,1,40,0.32,0.586427715
1300,1,40,0.34,0.584416378
1300,1,40,0.36,0.588414073
1300,1,40,0.38,0.598623601
1300,1,40,0.4,0.614219871
1300,1,40,0.42,0.632618339
1300,1,40,0.44,0.649848609
1300,1,40,0.46,0.660825029
1300,1,40,0.48,0.660949504
1300,1,40,0.5,0.647833854
1300,1,42,0.3,0.486653396
1300,1,42,0.32,0.476913294
1300,1,42,0.34,0.47341462
1300,1,42,0.36,0.477591582
1300,1,42,0.38,0.490120842
1300,1,42,0.4,0.51039553
1300,1,42,0.42,0.535254296
1300,1,42,0.44,0.558760944
1300,1,42,0.46,0.572570589
1300,1,42,0.48,0.569091492
1300,1,42,0.5,0.545117476
1300,1,44,0.3,0.381965584
1300,1,44,0.32,0.368754218
1300,1,44,0.34,0.362700501
1300,1,44,0.36,0.365965798
1300,1,44,0.38,0.380336562
1300,1,44,0.4,0.406273019
1300,1,44,0.42,0.440038155
1300,1,44,0.44,0.47038611
1300,1,44,0.46,0.477656328
1300,1,44,0.48,0.44389416
1300,1,44,0.5,0.367570834
1300,1,46,0.3,0.282169334
1300,1,46,0.32,0.26509492
1300,1,46,0.34,0.256724821
1300,1,46,0.36,0.261399812
1300,1,46,0.38,0.284155155
1300,1,46,0.4,0.32007981
1300,1,46,0.42,0.306385191
1300,1,46,0.44,0.176587827
1300,1,46,0.46,0.062527589
1300,1,46,0.48,0.015045544
1300,1,46,0.5,0.003537242
1300,1,48,0.3,0.122984544
1300,1,48,0.32,0.007963638
1300,1,48,0.34,0.099009211
1300,1,48,0.36,0.12325157
1300,1,48,0.38,0.106730473
1300,1,48,0.4,0.088966136
1300,1,48,0.42,0.074747369
1300,1,48,0.44,0.064725106
1300,1,48,0.46,0.058724733
1300,1,48,0.48,0.056489043
1300,1,48,0.5,0.057627926
1300,1,50,0.3,0.157251804
1300,1,50,0.32,0.135746942
1300,1,50,0.34,0.11575213
1300,1,50,0.36,0.097803912
1300,1,50,0.38,0.082285482
1300,1,50,0.4,0.069363903
1300,1,50,0.42,0.059023948
1300,1,50,0.44,0.051154446
1300,1,50,0.46,0.045466358
1300,1,50,0.48,0.041586365
1300,1,50,0.5,0.038998923
1300,1.1,30,0.3,0.938762275
1300,1.1,30,0.32,0.937618034
1300,1.1,30,0.34,0.940477244
1300,1.1,30,0.36,0.948001646
1300,1.1,30,0.38,0.959626197
1300,1.1,30,0.4,0.973386513
1300,1.1,30,0.42,0.986102905
1300,1.1,30,0.44,0.993764939
1300,1.1,30,0.46,0.992685914
1300,1.1,30,0.48,0.980764199
1300,1.1,30,0.5,0.958206333
1300,1.1,32,0.3,0.925786019
1300,1.1,32,0.32,0.925668221
1300,1.1,32,0.34,0.929926881
1300,1.1,32,0.36,0.939152366
1300,1.1,32,0.38,0.952678582
1300,1.1,32,0.4,0.968369571
1300,1.1,32,0.42,0.982754882
1300,1.1,32,0.44,0.991561045
1300,1.1,32,0.46,0.990906393
1300,1.1,32,0.48,0.978652932
1300,1.1,32,0.5,0.955154324
1300,1.1,34,0.3,0.882235767
1300,1.1,34,0.32,0.882638234
1300,1.1,34,0.34,0.888170395
1300,1.1,34,0.36,0.89935798
1300,1.1,34,0.38,0.915396355
1300,1.1,34,0.4,0.933880706
1300,1.1,34,0.42,0.950861821
1300,1.1,34,0.44,0.961549717
1300,1.1,34,0.46,0.961628745
1300,1.1,34,0.48,0.94884037
1300,1.1,34,0.5,0.923793975
1300,1.1,36,0.3,0.813143654
1300,1.1,36,0.32,0.813681495
1300,1.1,36,0.34,0.820477003
1300,1.1,36,0.36,0.834023906
1300,1.1,36,0.38,0.853332492
1300,1.1,36,0.4,0.875540567
1300,1.1,36,0.42,0.895843522
1300,1.1,36,0.44,0.908430466
1300,1.1,36,0.46,0.908157398
1300,1.1,36,0.48,0.892634512
1300,1.1,36,0.5,0.863132695
1300,1.1,38,0.3,0.726290391
1300,1.1,38,0.32,0.730144404
1300,1.1,38,0.34,0.74314682
1300,1.1,38,0.36,0.76539152
1300,1.1,38,0.38,0.793844727
1300,1.1,38,0.4,0.820682925
1300,1.1,38,0.42,0.833101589
1300,1.1,38,0.44,0.817572119
1300,1.1,38,0.46,0.767607737
1300,1.1,38,0.48,0.688186804
1300,1.1,38,0.5,0.59205387
1300,1.1,40,0.3,0.621264829
1300,1.1,40,0.32,0.615300587
1300,1.1,40,0.34,0.616411275
1300,1.1,40,0.36,0.625549907
1300,1.1,40,0.38,0.642670108
1300,1.1,40,0.4,0.666370234
1300,1.1,40,0.42,0.693338422
1300,1.1,40,0.44,0.718714797
1300,1.1,40,0.46,0.736710379
