lambda (nm),n,alpha (deg),f,TM
1300,1,30,0.3,0.465320139
1300,1,30,0.32,0.534131727
1300,1,30,0.34,0.599053514
1300,1,30,0.36,0.658497801
1300,1,30,0.38,0.711349245
1300,1,30,0.4,0.756919314
1300,1,30,0.42,0.795035097
1300,1,30,0.44,0.825807233
1300,1,30,0.46,0.849781275
1300,1,30,0.48,0.867564577
1300,1,30,0.5,0.879810624
1300,1,32,0.3,0.460750055
1300,1,32,0.32,0.528807487
1300,1,32,0.34,0.593113128
1300,1,32,0.36,0.652094668
1300,1,32,0.38,0.704669873
1300,1,32,0.4,0.750165177
1300,1,32,0.42,0.788389988
1300,1,32,0.44,0.819417481
1300,1,32,0.46,0.843782729
1300,1,32,0.48,0.862044936
1300,1,32,0.5,0.874825913
1300,1,34,0.3,0.445778246
1300,1,34,0.32,0.511478704
1300,1,34,0.34,0.573634847
1300,1,34,0.36,0.630739842
1300,1,34,0.38,0.681771509
1300,1,34,0.4,0.726096273
1300,1,34,0.42,0.763506813
1300,1,34,0.44,0.794041145
1300,1,34,0.46,0.818205936
1300,1,34,0.48,0.836501869
1300,1,34,0.5,0.849504743
1300,1,36,0.3,0.422037727
1300,1,36,0.32,0.484005779
1300,1,36,0.34,0.542678035
1300,1,36,0.36,0.596655339
1300,1,36,0.38,0.644996654
1300,1,36,0.4,0.687129867
1300,1,36,0.42,0.722835121
1300,1,36,0.44,0.752122556
1300,1,36,0.46,0.775457796
1300,1,36,0.48,0.793278717
1300,1,36,0.5,0.806105637
1300,1,38,0.3,0.391432401
1300,1,38,0.32,0.448539681
1300,1,38,0.34,0.502609323
1300,1,38,0.36,0.552381589
1300,1,38,0.38,0.597010387
1300,1,38,0.4,0.635999371
1300,1,38,0.42,0.66912108
1300,1,38,0.44,0.696366245
1300,1,38,0.46,0.718151169
1300,1,38,0.48,0.734849701
1300,1,38,0.5,0.746919693
1300,1,40,0.3,0.356078131
1300,1,40,0.32,0.407299538
1300,1,40,0.34,0.455683669
1300,1,40,0.36,0.500129833
1300,1,40,0.38,0.539889405
1300,1,40,0.4,0.574537544
1300,1,40,0.42,0.603828563
1300,1,40,0.44,0.627719663
1300,1,40,0.46,0.64654393
1300,1,40,0.48,0.660560897
1300,1,40,0.5,0.670066521
1300,1,42,0.3,0.319968747
1300,1,42,0.32,0.361341827
1300,1,42,0.34,0.397844241
1300,1,42,0.36,0.426752819
1300,1,42,0.38,0.442726231
1300,1,42,0.4,0.429587199
1300,1,42,0.42,0.307325969
1300,1,42,0.44,0.429707827
1300,1,42,0.46,0.651579459
1300,1,42,0.48,0.658053718
1300,1,42,0.5,0.656249522
1300,1,44,0.3,0.271393474
1300,1,44,0.32,0.314571637
1300,1,44,0.34,0.355614556
1300,1,44,0.36,0.39350266
1300,1,44,0.38,0.427546803
1300,1,44,0.4,0.457461081
1300,1,44,0.42,0.4830074
1300,1,44,0.44,0.504151184
1300,1,44,0.46,0.521031671
1300,1,44,0.48,0.533790095
1300,1,44,0.5,0.542569039
1300,1,46,0.3,0.232537708
1300,1,46,0.32,0.268492296
1300,1,46,0.34,0.302784693
1300,1,46,0.36,0.334591432
1300,1,46,0.38,0.363297478
1300,1,46,0.4,0.388622852
1300,1,46,0.42,0.410280881
1300,1,46,0.44,0.428177209
1300,1,46,0.46,0.442345523
1300,1,46,0.48,0.452784676
1300,1,46,0.5,0.459461421
1300,1,48,0.3,0.193393155
1300,1,48,0.32,0.22354158
1300,1,48,0.34,0.252419203
1300,1,48,0.36,0.279334804
1300,1,48,0.38,0.303724241
1300,1,48,0.4,0.32530581
1300,1,48,0.42,0.343738464
1300,1,48,0.44,0.358840565
1300,1,48,0.46,0.370464223
1300,1,48,0.48,0.378326158
1300,1,48,0.5,0.381880029
1300,1,50,0.3,0.156556598
1300,1,50,0.32,0.181591462
1300,1,50,0.34,0.20582792
1300,1,50,0.36,0.228712243
1300,1,50,0.38,0.249744112
1300,1,50,0.4,0.268639805
1300,1,50,0.42,0.285000406
1300,1,50,0.44,0.29850743
1300,1,50,0.46,0.308669349
1300,1,50,0.48,0.31430577
1300,1,50,0.5,0.311638569
1300,1.1,30,0.3,0.51489946
1300,1.1,30,0.32,0.589302118
1300,1.1,30,0.34,0.658604321
1300,1.1,30,0.36,0.72078039
1300,1.1,30,0.38,0.774511091
1300,1.1,30,0.4,0.81916906
1300,1.1,30,0.42,0.854910644
1300,1.1,30,0.44,0.88239765
1300,1.1,30,0.46,0.90272154
1300,1.1,30,0.48,0.91700307
1300,1.1,30,0.5,0.92625027
1300,1.1,32,0.3,0.510071105
1300,1.1,32,0.32,0.5838497
1300,1.1,32,0.34,0.652721875
1300,1.1,32,0.36,0.714666153
1300,1.1,32,0.38,0.768379049
1300,1.1,32,0.4,0.8132221
1300,1.1,32,0.42,0.849300619
1300,1.1,32,0.44,0.877224616
1300,1.1,32,0.46,0.898050752
1300,1.1,32,0.48,0.912849305
1300,1.1,32,0.5,0.922597306
1300,1.1,34,0.3,0.494114241
1300,1.1,34,0.32,0.56561991
1300,1.1,34,0.34,0.632524342
1300,1.1,34,0.36,0.692871102
1300,1.1,34,0.38,0.745399386
1300,1.1,34,0.4,0.789476953
1300,1.1,34,0.42,0.825142559
1300,1.1,34,0.44,0.852938461
1300,1.1,34,0.46,0.873852319
1300,1.1,34,0.48,0.888880267
1300,1.1,34,0.5,0.898946979
1300,1.1,36,0.3,0.468720463
1300,1.1,36,0.32,0.53651375
1300,1.1,36,0.34,0.600083583
1300,1.1,36,0.36,0.657592328
1300,1.1,36,0.38,0.707846248
1300,1.1,36,0.4,0.750237733
1300,1.1,36,0.42,0.784732807
1300,1.1,36,0.44,0.811797732
1300,1.1,36,0.46,0.832326332
1300,1.1,36,0.48,0.847223146
1300,1.1,36,0.5,0.857343975
1300,1.1,38,0.3,0.435887437
1300,1.1,38,0.32,0.498762888
1300,1.1,38,0.34,0.557821552
1300,1.1,38,0.36,0.611387893
1300,1.1,38,0.38,0.658355725
1300,1.1,38,0.4,0.698158895
1300,1.1,38,0.42,0.730693022
1300,1.1,38,0.44,0.756346341
1300,1.1,38,0.46,0.77590382
