lambda,n,angle,h,TE
1300,1,50,2000,8.77E-10
1300,1,50,2200,9.93E-10
1300,1,50,2400,1.11E-09
1300,1,50,2600,4.02E-10
1300,1,50,2800,1.07E-09
1300,1,50,3000,1.03E-09
1300,1,50,3200,5.12E-10
1300,1,50,3400,4.32E-10
1300,1,50,3600,3.45E-10
1300,1,50,3800,1.13E-09
1300,1,50,4000,1.08E-09
1300,1,52,2000,8.54E-10
1300,1,52,2200,8.84E-10
1300,1,52,2400,9.95E-10
1300,1,52,2600,4.31E-10
1300,1,52,2800,6.14E-10
1300,1,52,3000,5.73E-10
1300,1,52,3200,4.41E-10
1300,1,52,3400,4.24E-10
1300,1,52,3600,3.39E-10
1300,1,52,3800,6.33E-10
1300,1,52,4000,5.78E-10
1300,1,54,2000,7.92E-10
1300,1,54,2200,7.55E-10
1300,1,54,2400,8.29E-10
1300,1,54,2600,4.62E-10
1300,1,54,2800,3.41E-10
1300,1,54,3000,3.07E-10
1300,1,54,3200,4.00E-10
1300,1,54,3400,3.89E-10
1300,1,54,3600,2.75E-10
1300,1,54,3800,4.51E-10
1300,1,54,4000,4.04E-10
1300,1,56,2000,7.15E-10
1300,1,56,2200,6.22E-10
1300,1,56,2400,6.73E-10
1300,1,56,2600,4.72E-10
1300,1,56,2800,2.80E-10
1300,1,56,3000,2.72E-10
1300,1,56,3200,4.56E-10
1300,1,56,3400,4.09E-10
1300,1,56,3600,3.94E-10
1300,1,56,3800,5.39E-10
1300,1,56,4000,4.87E-10
1300,1,58,2000,6.53E-10
1300,1,58,2200,5.34E-10
1300,1,58,2400,5.75E-10
1300,1,58,2600,4.99E-10
1300,1,58,2800,3.87E-10
1300,1,58,3000,4.13E-10
1300,1,58,3200,6.08E-10
1300,1,58,3400,5.32E-10
1300,1,58,3600,7.61E-10
1300,1,58,3800,7.47E-10
1300,1,58,4000,6.50E-10
1300,1,60,2000,6.30E-10
1300,1,60,2200,5.26E-10
1300,1,60,2400,5.41E-10
1300,1,60,2600,5.72E-10
1300,1,60,2800,5.66E-10
1300,1,60,3000,6.08E-10
1300,1,60,3200,7.30E-10
1300,1,60,3400,6.15E-10
1300,1,60,3600,1.02E-09
1300,1,60,3800,8.33E-10
1300,1,60,4000,7.14E-10
1300,1,62,2000,6.45E-10
1300,1,62,2200,5.80E-10
1300,1,62,2400,5.35E-10
1300,1,62,2600,6.51E-10
1300,1,62,2800,6.95E-10
1300,1,62,3000,7.23E-10
1300,1,62,3200,6.86E-10
1300,1,62,3400,5.09E-10
1300,1,62,3600,8.95E-10
1300,1,62,3800,7.02E-10
1300,1,62,4000,6.64E-10
1300,1,64,2000,6.69E-10
1300,1,64,2200,6.31E-10
1300,1,64,2400,5.08E-10
1300,1,64,2600,6.48E-10
1300,1,64,2800,6.94E-10
1300,1,64,3000,7.07E-10
1300,1,64,3200,4.91E-10
1300,1,64,3400,2.88E-10
1300,1,64,3600,5.53E-10
1300,1,64,3800,5.19E-10
1300,1,64,4000,6.37E-10
1300,1,66,2000,6.65E-10
1300,1,66,2200,6.06E-10
1300,1,66,2400,4.28E-10
1300,1,66,2600,5.20E-10
1300,1,66,2800,5.89E-10
1300,1,66,3000,6.25E-10
1300,1,66,3200,2.93E-10
1300,1,66,3400,1.32E-10
1300,1,66,3600,3.00E-10
1300,1,66,3800,4.11E-10
1300,1,66,4000,6.39E-10
1300,1,68,2000,6.04E-10
1300,1,68,2200,4.82E-10
1300,1,68,2400,3.02E-10
1300,1,68,2600,3.14E-10
1300,1,68,2800,4.75E-10
1300,1,68,3000,5.88E-10
1300,1,68,3200,1.91E-10
1300,1,68,3400,6.94E-11
1300,1,68,3600,1.84E-10
1300,1,68,3800,3.12E-10
1300,1,68,4000,5.49E-10
1300,1,70,2000,4.84E-10
1300,1,70,2200,3.08E-10
1300,1,70,2400,1.75E-10
1300,1,70,2600,1.36E-10
1300,1,70,2800,4.22E-10
1300,1,70,3000,6.44E-10
1300,1,70,3200,1.38E-10
1300,1,70,3400,1.59E-11
1300,1,70,3600,1.26E-10
1300,1,70,3800,1.83E-10
1300,1,70,4000,3.53E-10
1300,1.1,50,2000,0.069566319
1300,1.1,50,2200,0.083190027
1300,1.1,50,2400,0.097706935
1300,1.1,50,2600,0.113085474
1300,1.1,50,2800,0.129231299
1300,1.1,50,3000,0.145954647
1300,1.1,50,3200,0.163186381
1300,1.1,50,3400,0.180797613
1300,1.1,50,3600,0.198723448
1300,1.1,50,3800,0.216821132
1300,1.1,50,4000,0.234921087
1300,1.1,52,2000,0.067672012
1300,1.1,52,2200,0.080241873
1300,1.1,52,2400,0.09335503
1300,1.1,52,2600,0.106949816
1300,1.1,52,2800,0.120890385
1300,1.1,52,3000,0.134922918
1300,1.1,52,3200,0.148904029
1300,1.1,52,3400,0.162699029
1300,1.1,52,3600,0.176216034
1300,1.1,52,3800,0.189270577
1300,1.1,52,4000,0.201659608
1300,1.1,54,2000,0.065167124
1300,1.1,54,2200,0.076380534
1300,1.1,54,2400,0.087711297
1300,1.1,54,2600,0.099065457
1300,1.1,54,2800,0.110278079
1300,1.1,54,3000,0.121055949
1300,1.1,54,3200,0.131197427
1300,1.1,54,3400,0.14057139
1300,1.1,54,3600,0.149090309
1300,1.1,54,3800,0.156585356
1300,1.1,54,4000,0.162876332
1300,1.1,56,2000,0.062163181
1300,1.1,56,2200,0.071805866
1300,1.1,56,2400,0.081109592
1300,1.1,56,2600,0.089958176
1300,1.1,56,2800,0.098184804
1300,1.1,56,3000,0.105502521
1300,1.1,56,3200,0.111693139
1300,1.1,56,3400,0.116651883
1300,1.1,56,3600,0.12034111
1300,1.1,56,3800,0.122673537
1300,1.1,56,4000,0.1235626
1300,1.1,58,2000,0.058770369
1300,1.1,58,2200,0.066713068
1300,1.1,58,2400,0.073874877
1300,1.1,58,2600,0.080136296
1300,1.1,58,2800,0.085364046
