lambda,n,angle,h,TM
1300,1,50,2000,5.58E-10
1300,1,50,2200,2.75E-10
1300,1,50,2400,8.95E-11
1300,1,50,2600,4.47E-11
1300,1,50,2800,1.10E-10
1300,1,50,3000,1.26E-10
1300,1,50,3200,6.54E-11
1300,1,50,3400,3.35E-10
1300,1,50,3600,1.33E-09
1300,1,50,3800,2.79E-10
1300,1,50,4000,8.11E-10
1300,1,52,2000,4.68E-10
1300,1,52,2200,3.00E-10
1300,1,52,2400,3.77E-11
1300,1,52,2600,6.38E-11
1300,1,52,2800,7.03E-11
1300,1,52,3000,1.15E-10
1300,1,52,3200,1.13E-10
1300,1,52,3400,5.16E-10
1300,1,52,3600,1.12E-09
1300,1,52,3800,1.33E-10
1300,1,52,4000,3.80E-10
1300,1,54,2000,2.80E-10
1300,1,54,2200,3.25E-10
1300,1,54,2400,3.05E-11
1300,1,54,2600,2.90E-10
1300,1,54,2800,4.86E-11
1300,1,54,3000,1.45E-10
1300,1,54,3200,3.90E-10
1300,1,54,3400,1.06E-09
1300,1,54,3600,7.07E-10
1300,1,54,3800,3.99E-10
1300,1,54,4000,7.78E-10
1300,1,56,2000,1.06E-10
1300,1,56,2200,3.15E-10
1300,1,56,2400,5.41E-11
1300,1,56,2600,5.06E-10
1300,1,56,2800,1.08E-10
1300,1,56,3000,1.53E-10
1300,1,56,3200,7.64E-10
1300,1,56,3400,1.36E-09
1300,1,56,3600,3.19E-10
1300,1,56,3800,1.24E-09
1300,1,56,4000,7.75E-10
1300,1,58,2000,1.45E-11
1300,1,58,2200,2.46E-10
1300,1,58,2400,6.88E-11
1300,1,58,2600,5.31E-10
1300,1,58,2800,1.92E-10
1300,1,58,3000,1.15E-10
1300,1,58,3200,8.79E-10
1300,1,58,3400,1.03E-09
1300,1,58,3600,1.30E-10
1300,1,58,3800,1.89E-09
1300,1,58,4000,2.29E-10
1300,1,60,2000,2.01E-12
1300,1,60,2200,1.35E-10
1300,1,60,2400,8.37E-11
1300,1,60,2600,3.62E-10
1300,1,60,2800,1.84E-10
1300,1,60,3000,9.36E-11
1300,1,60,3200,5.97E-10
1300,1,60,3400,3.93E-10
1300,1,60,3600,1.02E-10
1300,1,60,3800,1.64E-09
1300,1,60,4000,1.10E-10
1300,1,62,2000,2.03E-11
1300,1,62,2200,3.29E-11
1300,1,62,2400,1.89E-10
1300,1,62,2600,1.44E-10
1300,1,62,2800,6.83E-11
1300,1,62,3000,1.44E-10
1300,1,62,3200,2.00E-10
1300,1,62,3400,7.33E-11
1300,1,62,3600,1.15E-10
1300,1,62,3800,9.97E-10
1300,1,62,4000,3.43E-10
1300,1,64,2000,2.89E-11
1300,1,64,2200,3.47E-12
1300,1,64,2400,4.82E-10
1300,1,64,2600,3.26E-11
1300,1,64,2800,2.03E-12
1300,1,64,3000,2.51E-10
1300,1,64,3200,1.20E-11
1300,1,64,3400,2.12E-10
1300,1,64,3600,1.54E-10
1300,1,64,3800,9.92E-10
1300,1,64,4000,2.97E-10
1300,1,66,2000,2.64E-11
1300,1,66,2200,7.61E-11
1300,1,66,2400,9.43E-10
1300,1,66,2600,7.42E-11
1300,1,66,2800,1.75E-10
1300,1,66,3000,3.82E-10
1300,1,66,3200,4.79E-11
1300,1,66,3400,4.24E-10
1300,1,66,3600,2.61E-10
1300,1,66,3800,1.65E-09
1300,1,66,4000,2.30E-10
1300,1,68,2000,4.38E-11
1300,1,68,2200,2.24E-10
1300,1,68,2400,1.39E-09
1300,1,68,2600,1.91E-10
1300,1,68,2800,6.07E-10
1300,1,68,3000,5.49E-10
1300,1,68,3200,1.30E-10
1300,1,68,3400,3.87E-10
1300,1,68,3600,3.57E-10
1300,1,68,3800,1.92E-09
1300,1,68,4000,5.72E-10
1300,1,70,2000,1.12E-10
1300,1,70,2200,3.74E-10
1300,1,70,2400,1.60E-09
1300,1,70,2600,2.73E-10
1300,1,70,2800,1.08E-09
1300,1,70,3000,7.75E-10
1300,1,70,3200,1.92E-10
1300,1,70,3400,1.91E-10
1300,1,70,3600,2.98E-10
1300,1,70,3800,1.25E-09
1300,1,70,4000,8.88E-10
1300,1.1,50,2000,1.96E-04
