f,d,h1,h2,T(1)
0.444,367.3089,540.9634,70.4817,0.738828813
0.444,367.3089,540.9634,83.0101,0.689197354
0.444,367.3089,540.9634,97.452,0.658418592
0.444,367.3089,540.9634,104.1585,0.655320807
0.444,367.3089,540.9634,107.597,0.656425902
0.444,367.3089,540.9634,154.9268,0.785352713
0.444,367.3089,540.9634,160.9761,0.804125565
0.444,367.3089,540.9634,194.0026,0.830364919
0.444,367.3089,540.9634,199.4684,0.813731711
0.444,367.3089,540.9634,199.9801,0.811889662
0.444,367.3089,566.0202,70.4817,0.621231913
0.444,367.3089,566.0202,83.0101,0.604917785
0.444,367.3089,566.0202,97.452,0.625472833
0.444,367.3089,566.0202,104.1585,0.648936268
0.444,367.3089,566.0202,107.597,0.664186813
0.444,367.3089,566.0202,154.9268,0.916083772
0.444,367.3089,566.0202,160.9761,0.914313592
0.444,367.3089,566.0202,194.0026,0.729063866
0.444,367.3089,566.0202,199.4684,0.694866236
0.444,367.3089,566.0202,199.9801,0.691893401
0.444,367.3089,568.305,70.4817,0.613685467
0.444,367.3089,568.305,83.0101,0.601286239
0.444,367.3089,568.305,97.452,0.626791135
0.444,367.3089,568.305,104.1585,0.652739112
0.444,367.3089,568.305,107.597,0.669299848
0.444,367.3089,568.305,154.9268,0.923723141
0.444,367.3089,568.305,160.9761,0.917384007
0.444,367.3089,568.305,194.0026,0.716650901
0.444,367.3089,568.305,199.4684,0.683081324
0.444,367.3089,568.305,199.9801,0.680190159
0.444,367.3089,574.1881,70.4817,0.597459312
0.444,367.3089,574.1881,83.0101,0.595300253
0.444,367.3089,574.1881,97.452,0.633612228
0.444,367.3089,574.1881,104.1585,0.665991173
0.444,367.3089,574.1881,107.597,0.68593557
0.444,367.3089,574.1881,154.9268,0.936310735
0.444,367.3089,574.1881,160.9761,0.91712511
0.444,367.3089,574.1881,194.0026,0.685701379
0.444,367.3089,574.1881,199.4684,0.654729392
0.444,367.3089,574.1881,199.9801,0.652135697
0.444,367.3089,591.8038,70.4817,0.577278275
0.444,367.3089,591.8038,83.0101,0.606338395
0.444,367.3089,591.8038,97.452,0.68370903
0.444,367.3089,591.8038,104.1585,0.734756558
0.444,367.3089,591.8038,107.597,0.763874499
0.444,367.3089,591.8038,154.9268,0.905669313
0.444,367.3089,591.8038,160.9761,0.854776924
0.444,367.3089,591.8038,194.0026,0.613120431
0.444,367.3089,591.8038,199.4684,0.594177563
0.444,367.3089,591.8038,199.9801,0.592754457
0.444,367.3089,594.9041,70.4817,0.578194181
0.444,367.3089,594.9041,83.0101,0.61282789
0.444,367.3089,594.9041,97.452,0.696973572
0.444,367.3089,594.9041,104.1585,0.750853125
0.444,367.3089,594.9041,107.597,0.781134555
0.444,367.3089,594.9041,154.9268,0.891406586
0.444,367.3089,594.9041,160.9761,0.837817571
0.444,367.3089,594.9041,194.0026,0.604403498
0.444,367.3089,594.9041,199.4684,0.587837191
0.444,367.3089,594.9041,199.9801,0.58663195
0.444,367.3089,596.1558,70.4817,0.578941649
0.444,367.3089,596.1558,83.0101,0.615832618
0.444,367.3089,596.1558,97.452,0.702674065
0.444,367.3089,596.1558,104.1585,0.75761011
0.444,367.3089,596.1558,107.597,0.788293189
0.444,367.3089,596.1558,154.9268,0.885165743
0.444,367.3089,596.1558,160.9761,0.830790134
0.444,367.3089,596.1558,194.0026,0.601273976
0.444,367.3089,596.1558,199.4684,0.585654406
0.444,367.3089,596.1558,199.9801,0.584534293
0.444,367.3089,608.3169,70.4817,0.597652602
0.444,367.3089,608.3169,83.0101,0.656450804
0.444,367.3089,608.3169,97.452,0.766354401
0.444,367.3089,608.3169,104.1585,0.827386861
0.444,367.3089,608.3169,107.597,0.858785348
0.444,367.3089,608.3169,154.9268,0.817241124
0.444,367.3089,608.3169,160.9761,0.762554288
0.444,367.3089,608.3169,194.0026,0.582139162
0.444,367.3089,608.3169,199.4684,0.575759551
0.444,367.3089,608.3169,199.9801,0.575503118
0.444,367.3089,609.9244,70.4817,0.601681475
0.444,367.3089,609.9244,83.0101,0.663291168
0.444,367.3089,609.9244,97.452,0.775518206
0.444,367.3089,609.9244,104.1585,0.836555819
0.444,367.3089,609.9244,107.597,0.867496595
0.444,367.3089,609.9244,154.9268,0.808055814
0.444,367.3089,609.9244,160.9761,0.754106666
