f,d,h1,h2,TM,,,,,,,,,,,
0.6,367.3089,540.9634,70.4817,0.582107246,,,,,,,,,,,
0.6,367.3089,540.9634,83.0101,0.572865312,,,,,,,,,,,
0.6,367.3089,540.9634,97.452,0.57322294,,,,,,,,,,,
0.6,367.3089,540.9634,104.1585,0.577511852,,,,,,,,,,,
0.6,367.3089,540.9634,107.597,0.580636321,,,,,,,,,,,
0.6,367.3089,540.9634,154.9268,0.642079572,,,,,,,,,,,
0.6,367.3089,540.9634,160.9761,0.64445406,,,,,,,,,,,
0.6,367.3089,540.9634,194.0026,0.614998309,,,,,,,,,,,
0.6,367.3089,540.9634,199.4684,0.60642824,,,,,,,,,,,
0.6,367.3089,540.9634,199.9801,0.605622929,,,,,,,,,,,
0.6,367.3089,566.0202,70.4817,0.60277025,,,,,,,,,,,
0.6,367.3089,566.0202,83.0101,0.598869994,,,,,,,,,,,
0.6,367.3089,566.0202,97.452,0.608294869,,,,,,,,,,,
0.6,367.3089,566.0202,104.1585,0.617130899,,,,,,,,,,,
0.6,367.3089,566.0202,107.597,0.622544912,,,,,,,,,,,
0.6,367.3089,566.0202,154.9268,0.688679108,,,,,,,,,,,
0.6,367.3089,566.0202,160.9761,0.686942434,,,,,,,,,,,
0.6,367.3089,566.0202,194.0026,0.636013717,,,,,,,,,,,
0.6,367.3089,566.0202,199.4684,0.626057828,,,,,,,,,,,
0.6,367.3089,566.0202,199.9801,0.625193059,,,,,,,,,,,
0.6,367.3089,568.305,70.4817,0.605227302,,,,,,,,,,,
0.6,367.3089,568.305,83.0101,0.602056598,,,,,,,,,,,
0.6,367.3089,568.305,97.452,0.612332018,,,,,,,,,,,
0.6,367.3089,568.305,104.1585,0.621568244,,,,,,,,,,,
0.6,367.3089,568.305,107.597,0.627132349,,,,,,,,,,,
0.6,367.3089,568.305,154.9268,0.692394863,,,,,,,,,,,
0.6,367.3089,568.305,160.9761,0.690233562,,,,,,,,,,,
0.6,367.3089,568.305,194.0026,0.637902909,,,,,,,,,,,
0.6,367.3089,568.305,199.4684,0.627995203,,,,,,,,,,,
0.6,367.3089,568.305,199.9801,0.627120704,,,,,,,,,,,
0.6,367.3089,574.1881,70.4817,0.612158828,,,,,,,,,,,
0.6,367.3089,574.1881,83.0101,0.610879568,,,,,,,,,,,
0.6,367.3089,574.1881,97.452,0.623379271,,,,,,,,,,,
0.6,367.3089,574.1881,104.1585,0.63346761,,,,,,,,,,,
0.6,367.3089,574.1881,107.597,0.639427047,,,,,,,,,,,
0.6,367.3089,574.1881,154.9268,0.701543502,,,,,,,,,,,
0.6,367.3089,574.1881,160.9761,0.698278734,,,,,,,,,,,
0.6,367.3089,574.1881,194.0026,0.643000967,,,,,,,,,,,
0.6,367.3089,574.1881,199.4684,0.633295311,,,,,,,,,,,
0.6,367.3089,574.1881,199.9801,0.632450229,,,,,,,,,,,
0.6,367.3089,591.8038,70.4817,0.638761833,,,,,,,,,,,
0.6,367.3089,591.8038,83.0101,0.64324148,,,,,,,,,,,
0.6,367.3089,591.8038,97.452,0.661227596,,,,,,,,,,,
0.6,367.3089,591.8038,104.1585,0.672847051,,,,,,,,,,,
0.6,367.3089,591.8038,107.597,0.679207696,,,,,,,,,,,
0.6,367.3089,591.8038,154.9268,0.725339842,,,,,,,,,,,
0.6,367.3089,591.8038,160.9761,0.719354524,,,,,,,,,,,
0.6,367.3089,591.8038,194.0026,0.661307025,,,,,,,,,,,
0.6,367.3089,591.8038,199.4684,0.653132467,,,,,,,,,,,
0.6,367.3089,591.8038,199.9801,0.652439425,,,,,,,,,,,
0.6,367.3089,594.9041,70.4817,0.644347513,,,,,,,,,,,
0.6,367.3089,594.9041,83.0101,0.649764761,,,,,,,,,,,
0.6,367.3089,594.9041,97.452,0.668416505,,,,,,,,,,,
0.6,367.3089,594.9041,104.1585,0.68014101,,,,,,,,,,,
0.6,367.3089,594.9041,107.597,0.68642133,,,,,,,,,,,
0.6,367.3089,594.9041,154.9268,0.729044615,,,,,,,,,,,
0.6,367.3089,594.9041,160.9761,0.722758604,,,,,,,,,,,
0.6,367.3089,594.9041,194.0026,0.665152748,,,,,,,,,,,
0.6,367.3089,594.9041,199.4684,0.657356287,,,,,,,,,,,
0.6,367.3089,594.9041,199.9801,0.656714807,,,,,,,,,,,
0.6,367.3089,596.1558,70.4817,0.646682686,,,,,,,,,,,
0.6,367.3089,596.1558,83.0101,0.652512264,,,,,,,,,,,
0.6,367.3089,596.1558,97.452,0.671355299,,,,,,,,,,,
0.6,367.3089,596.1558,104.1585,0.683075031,,,,,,,,,,,
0.6,367.3089,596.1558,107.597,0.68932205,,,,,,,,,,,
0.6,367.3089,596.1558,154.9268,0.730527353,,,,,,,,,,,
0.6,367.3089,596.1558,160.9761,0.724101189,,,,,,,,,,,
0.6,367.3089,596.1558,194.0026,0.666797633,,,,,,,,,,,
0.6,367.3089,596.1558,199.4684,0.659176468,,,,,,,,,,,
0.6,367.3089,596.1558,199.9801,0.6585169,,,,,,,,,,,
0.6,367.3089,608.3169,70.4817,0.671573943,,,,,,,,,,,
0.6,367.3089,608.3169,83.0101,0.680346,,,,,,,,,,,
0.6,367.3089,608.3169,97.452,0.700238703,,,,,,,,,,,
0.6,367.3089,608.3169,104.1585,0.711326999,,,,,,,,,,,
0.6,367.3089,608.3169,107.597,0.717042486,,,,,,,,,,,
0.6,367.3089,608.3169,154.9268,0.744162845,,,,,,,,,,,
0.6,367.3089,608.3169,160.9761,0.737050696,,,,,,,,,,,
0.6,367.3089,608.3169,194.0026,0.684537995,,,,,,,,,,,
0.6,367.3089,608.3169,199.4684,0.678648274,,,,,,,,,,,
0.6,367.3089,608.3169,199.9801,0.678179956,,,,,,,,,,,
0.6,367.3089,609.9244,70.4817,0.675124262,,,,,,,,,,,
0.6,367.3089,609.9244,83.0101,0.684202086,,,,,,,,,,,
0.6,367.3089,609.9244,97.452,0.70405405,,,,,,,,,,,
0.6,367.3089,609.9244,104.1585,0.714944101,,,,,,,,,,,
0.6,367.3089,609.9244,107.597,0.720552513,,,,,,,,,,,
0.6,367.3089,609.9244,154.9268,0.745868556,,,,,,,,,,,
0.6,367.3089,609.9244,160.9761,0.738729776,,,,,,,,,,,
0.6,367.3089,609.9244,194.0026,0.687192737,,,,,,,,,,,
